serialNumber,hardOutputVoltage,minOutputVoltage,maxOutputVoltage,constOutputVoltage,maxTemperature,hardCurrent,maxCurrent,scaleAmpsIn,offsetAmpsIn,scaleAmpsOut,offsetAmpsOut,scaleVoltsIn,offsetVoltsIn,scaleVoltsOut,offsetVoltsOut,constVoltageHyst,safetyVoltageHyst,safetyCurrentHyst,safetyTemperatureHyst,thermistorBeta,thermistorRo,thermistorRbias,thermistorTo,canBitrate,canBaseAddress,testMode,POseconds,INCseconds,TRACKseconds,SWVersion,syncCurrentHi,syncCurrentLow,autoSendRate
36,160,0,151.2,150.2,110,12,12,16.4351,0.0422598,16.5,0,201.414,0.559094,202.699,0.365541,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1005,3,2,0
37,160,0,151.2,150.2,110,12,12,16.5358,0.0336265,16.5,0,203.311,0.645396,202.506,0.343853,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1005,3,2,0
48,160,0,125,124,110,12,12,16.323,0.0488198,16.5,0,201.314,0.814689,201.642,0.517613,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1006,3,2,0
49,160,0,126,125,110,12,12,16.5622,0.0317529,16.5,0,201.271,0.514835,201.508,0.448312,0.2,2,0.25,5,3964,30000,8060,25,125000,1536,0,2,20,300,1000,3,2,0
50,160,0,126,125,110,12,12,16.6137,0.0542929,16.5,0,201.031,0.612246,201.908,0.562188,0.2,2,0.25,5,3964,30000,8060,25,125000,1536,0,2,20,300,1000,3,2,0
51,160,0,126,125,110,12,12,16.4725,0.048114,16.5,0,201.518,0.751412,200.981,0.618582,0.2,2,0.25,5,3964,30000,8060,25,125000,1536,0,2,20,300,1000,3,2,0
52,160,0,126,125,110,12,12,16.5195,0.0810925,16.5,0,201.271,0.947879,202.002,0.611774,0.2,2,0.25,5,3964,30000,8060,25,125000,1536,0,2,20,300,1000,3,2,0
53,160,0,126,125,110,12,12,16.416,0.0404072,16.5,0,201.417,0.708656,201.684,0.675685,0.2,2,0.25,5,3964,30000,8060,25,125000,1536,0,2,20,300,1000,3,2,0
54,160,0,126,125,110,12,12,16.4346,0.0338803,16.5,0,201.873,0.782323,201.359,0.353845,0.2,2,0.25,5,3964,30000,8060,25,125000,1536,0,2,20,300,1000,3,2,0
55,160,0,117.6,116.6,110,12,12,16.4686,0.0997849,16.5,0,201.113,0.682191,201.6,0.461004,0.2,2,0.25,5,3964,30000,8060,25,125000,1536,0,2,20,300,1001,3,2,0
56,160,0,117.6,116.6,110,12,12,16.3999,0.0244633,16.5,0,201.436,0.625954,201.926,0.632364,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1002,3,2,0
57,160,0,117.6,116.6,110,12,12,16.5706,0.0390948,16.5,0,201.719,0.752446,201.283,0.497736,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1002,3,2,0
58,160,0,117.6,116.6,110,12,12,16.5173,0.0420213,16.5,0,201.008,0.94964,201.395,0.15569,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1002,3,2,0
